Swappiness,Stress,repeats,req_sec_mean,req_sec_std,failed_mean,p95_ms_mean,p99_ms_mean,delta_pgmajfault_mean,delta_pswpin_mean,delta_pswpout_mean,slowdown_mean,slowdown_std,baseline_mode,baseline_swappiness,ab_concurrency,platform
10,extreme,3,1352.45,241.71682936858167,0.0,5.333333333333333,7.666666666666667,0.0,0.0,0.0,1.0750571809447935,0.2086404541528818,single_global,60,30,kvm
10,high,3,1408.3100000000002,216.16258950151393,0.0,5.0,7.333333333333333,3.3333333333333335,0.0,0.0,1.025792216403235,0.16835176244634373,single_global,60,30,kvm
10,moderate,3,1383.006666666667,373.64539035472296,0.0,5.0,7.0,0.0,0.0,0.0,1.0893746429428004,0.34637436325483967,single_global,60,30,kvm
60,extreme,3,1495.1333333333332,205.78098462524017,0.0,4.333333333333333,6.666666666666667,0.0,0.0,0.0,0.9632431379885258,0.14401456521691836,single_global,60,30,kvm
60,high,3,1571.64,7.4099055324613134,0.0,4.666666666666667,7.0,0.0,0.0,0.0,0.9037954444304672,0.004265712466572884,single_global,60,30,kvm
60,moderate,3,1549.8466666666666,42.03414960878035,0.0,5.0,7.0,0.0,0.0,0.0,0.9169355976563797,0.024609468594071857,single_global,60,30,kvm
100,extreme,2,1445.995,189.99252103701326,0.0,4.5,6.5,0.0,0.0,0.0,0.9908663356947103,0.13019214667363693,single_global,60,30,kvm
100,high,3,1315.16,528.2440235345781,0.0,4.0,5.0,0.0,0.0,0.0,1.2557405571617661,0.6562636597194131,single_global,60,30,kvm
100,moderate,3,1592.5566666666666,57.42969382935398,0.0,4.333333333333333,6.333333333333333,0.0,0.0,0.0,0.8927011999432608,0.03283867216788701,single_global,60,30,kvm
