Swappiness,Stress,Repeat,Req/sec,Failed,p95_ms,p99_ms,delta_pgmajfault,delta_pswpin,delta_pswpout,Slowdown,baseline_mode,baseline_swappiness,ab_concurrency,run_timestamp,platform
10,extreme,1,1423.21,0,6.0,8.0,0,0,0,0.998039642779351,single_global,60,30,2026-04-08T20:59:45+00:00,kvm
10,extreme,2,1083.25,0,5.0,7.0,0,0,0,1.3112577890606971,single_global,60,30,2026-04-08T21:42:46+00:00,kvm
10,extreme,3,1550.89,0,5.0,8.0,0,0,0,0.9158741109943322,single_global,60,30,2026-04-08T21:51:28+00:00,kvm
10,high,1,1168.56,0,6.0,8.0,10,0,0,1.2155302252344768,single_global,60,30,2026-04-08T20:59:09+00:00,kvm
10,high,2,1468.05,0,5.0,8.0,0,0,0,0.9675556009672696,single_global,60,30,2026-04-08T21:26:49+00:00,kvm
10,high,3,1588.32,0,4.0,6.0,0,0,0,0.8942908230079581,single_global,60,30,2026-04-08T21:50:52+00:00,kvm
10,moderate,1,954.32,0,6.0,8.0,0,0,0,1.4884105960264902,single_global,60,30,2026-04-08T20:58:33+00:00,kvm
10,moderate,2,1639.56,0,4.0,6.0,0,0,0,0.8663421893678792,single_global,60,30,2026-04-08T21:03:58+00:00,kvm
10,moderate,3,1555.14,0,5.0,7.0,0,0,0,0.9133711434340317,single_global,60,30,2026-04-08T21:50:16+00:00,kvm
60,extreme,1,1611.86,0,4.0,6.0,0,0,0,0.881230379809661,single_global,60,30,2026-04-08T21:01:34+00:00,kvm
60,extreme,2,1257.53,0,5.0,8.0,0,0,0,1.1295317010329775,single_global,60,30,2026-04-08T21:44:34+00:00,kvm
60,extreme,3,1616.01,0,4.0,6.0,0,0,0,0.8789673331229386,single_global,60,30,2026-04-08T21:53:17+00:00,kvm
60,high,1,1578.42,0,4.0,7.0,0,0,0,0.8998998998998999,single_global,60,30,2026-04-08T21:00:57+00:00,kvm
60,high,2,1572.77,0,5.0,7.0,0,0,0,0.9031326894587257,single_global,60,30,2026-04-08T21:43:58+00:00,kvm
60,high,3,1563.73,0,5.0,7.0,0,0,0,0.9083537439327761,single_global,60,30,2026-04-08T21:52:41+00:00,kvm
60,moderate,1,1537.76,0,5.0,7.0,0,0,0,0.9236942045572781,single_global,60,30,2026-04-08T21:00:21+00:00,kvm
60,moderate,2,1515.18,0,5.0,7.0,0,0,0,0.9374595757599757,single_global,60,30,2026-04-08T21:43:22+00:00,kvm
60,moderate,3,1596.6,0,5.0,7.0,0,0,0,0.8896530126518853,single_global,60,30,2026-04-08T21:52:05+00:00,kvm
100,extreme,1,1580.34,0,5.0,7.0,0,0,0,0.898806585924548,single_global,60,30,2026-04-08T21:03:22+00:00,kvm
100,extreme,3,1311.65,0,4.0,6.0,0,0,0,1.0829260854648726,single_global,60,30,2026-04-08T21:55:06+00:00,kvm
100,high,1,705.46,0,4.0,5.0,0,0,0,2.013466390723783,single_global,60,30,2026-04-08T21:02:46+00:00,kvm
100,high,2,1604.48,0,4.0,5.0,0,0,0,0.8852837056242522,single_global,60,30,2026-04-08T21:45:47+00:00,kvm
100,high,3,1635.54,0,4.0,5.0,0,0,0,0.8684715751372636,single_global,60,30,2026-04-08T21:54:30+00:00,kvm
100,moderate,1,1526.67,0,5.0,8.0,0,0,0,0.930404082087157,single_global,60,30,2026-04-08T21:02:10+00:00,kvm
100,moderate,2,1618.99,0,4.0,6.0,0,0,0,0.877349458613086,single_global,60,30,2026-04-08T21:45:11+00:00,kvm
100,moderate,3,1632.01,0,4.0,5.0,0,0,0,0.8703500591295397,single_global,60,30,2026-04-08T21:53:53+00:00,kvm
baseline,baseline,1,1420.42,0,5.0,6.0,0,0,0,1.0,single_global,60,30,2026-04-08T21:42:14+00:00,kvm
